basename,institution,sample_id,quality,concern_level,reason,wsi_width,wsi_height,total_patches,num_contours,contour_coverage,patch_coverage,bbox_coverage,patch_density_in_contour,patches_per_megapixel,full_bbox,wsi_total_pixels,patch_pixels
PIT_01_10262_01.tiff,PIT_01,10262,GOOD,0,Normal segmentation pattern,57822,44446,2717,36,21.52953242153802,27.71429076562169,45.974488770863346,128.7268586376566,1.0572162920235324,False,2569956612,712245248
PIT_01_06639_01.tiff,PIT_01,06639,GOOD,0,Normal segmentation pattern,25920,28093,317,2,9.384973624860638,11.412113118113426,36.96959390942693,121.59984219756284,0.4353375670667048,False,728170560,83099648
PIT_01_07085_01.tiff,PIT_01,07085,GOOD,0,Normal segmentation pattern,65797,25226,489,4,5.66013493200277,7.723146929455791,31.55948930424679,136.44810631260074,0.2946146747381512,False,1659795122,128188416
PIT_01_06473_01.tiff,PIT_01,06473,GOOD,0,Normal segmentation pattern,48850,43792,95,2,0.7467752788000519,1.1641372315914928,2.782307654048224,155.8885604062945,0.04440831114164325,False,2139239200,24903680
PIT_01_10028_01.tiff,PIT_01,10028,GOOD,0,Normal segmentation pattern,69785,42106,3934,15,31.01743389656189,35.096855576468265,59.108306446150415,113.15202828677118,1.3388387899958902,False,2938367210,1031274496
PIT_01_02599_01.tiff,PIT_01,02599,GOOD,0,Normal segmentation pattern,31901,10927,505,3,31.96399539899663,37.97747267246646,64.25497734857262,118.81328412923808,1.4487256115900597,False,348582227,132382720
PIT_01_02136_01.tiff,PIT_01,02136,GOOD,0,Normal segmentation pattern,75766,15837,630,8,11.342018074277012,13.763636522830632,23.606653811094503,121.35086042620316,0.525041066086984,False,1199906142,165150720
PIT_01_10487_01.tiff,PIT_01,10487,GOOD,0,Normal segmentation pattern,37883,35591,1756,10,29.87496654410691,34.14128626157877,56.04093390463599,114.28058408424704,1.302386713469649,False,1348293853,460324864
PIT_01_07660_01.tiff,PIT_01,07660,GOOD,0,Normal segmentation pattern,105674,40233,134,4,0.6619420188058082,0.8262170564507244,1.091023965708998,124.81713397516,0.031517679460553144,False,4251582042,35127296
PIT_01_00510_01.tiff,PIT_01,00510,GOOD,0,Normal segmentation pattern,19938,11054,156,2,14.19579727370154,18.555107226467545,34.61122686407109,130.70845454268255,0.7078211680018442,False,220394652,40894464
